unix_timestamp,yaw,pitch,roll
1784518671.257284,4.21,-0.81,-1.82
1784518671.4522507,4.18,-0.76,-1.85
1784518671.6674066,4.21,-0.84,-1.82
1784518671.8700626,4.17,-1.16,-1.89
1784518672.0707555,4.17,-1.19,-1.9
1784518672.2790182,4.2,-1.27,-1.91
1784518672.4870374,4.23,-1.25,-1.89
1784518672.6843336,4.26,-1.21,-1.85
1784518672.889292,4.21,-1.14,-1.82
1784518673.0975413,4.25,-1.12,-1.81
1784518673.3055959,4.21,-1.17,-1.76
1784518673.4950566,4.21,-1.17,-1.76
1784518673.7004077,4.21,-1.17,-1.76
1784518673.907982,5.98,-1.14,-1.8
1784518674.1233864,11.06,-1.06,-1.84
1784518674.3272896,17.24,-0.87,-1.87
1784518674.5346835,23.13,-0.7,-1.94
1784518674.736939,29.09,-0.57,-2.06
1784518674.938379,35.0,-0.43,-2.11
1784518675.1375587,40.84,-0.29,-2.06
1784518675.3522336,46.76,-0.11,-2.11
1784518675.5522408,53.29,0.07,-2.01
1784518675.7585232,59.23,0.22,-1.97
1784518675.9426835,65.16,0.32,-1.91
1784518676.1676989,71.65,0.49,-1.83
1784518676.374992,77.6,0.61,-1.68
1784518676.582288,83.51,0.72,-1.59
1784518676.7818542,89.47,0.85,-1.48
1784518676.937678,93.4,0.97,-1.37
1784518677.1943383,92.97,0.92,-1.3
1784518677.3959384,93.09,0.57,-1.37
1784518677.604657,93.07,0.69,-1.43
1784518677.805045,93.06,0.56,-1.41
1784518677.9512424,93.05,0.37,-1.43
1784518678.218414,92.99,0.47,-1.41
1784518678.4226508,93.22,0.58,-1.45
1784518678.6290853,93.22,0.66,-1.46
1784518678.8194296,93.25,0.73,-1.5
1784518678.9399438,93.25,0.79,-1.5
1784518679.2420788,93.25,0.82,-1.49
1784518679.433544,93.24,0.88,-1.49
1784518679.6477942,94.48,0.89,-1.45
1784518679.858988,100.04,0.99,-1.34
1784518679.9526222,105.83,1.12,-1.38
1784518680.2641587,111.55,1.17,-1.25
1784518680.4720345,117.43,1.18,-1.13
1784518680.673351,123.28,1.24,-1.01
1784518680.868961,129.36,1.19,-0.81
1784518680.9647975,135.31,1.19,-0.72
1784518681.2914414,141.84,1.2,-0.53
1784518681.4944475,147.68,1.18,-0.4
1784518681.7010608,153.54,1.16,-0.25
1784518681.90769,159.6,1.17,-0.1
1784518681.9764628,165.63,1.08,0.1
1784518682.310318,171.42,0.97,0.21
1784518682.5093458,177.43,0.86,0.36
1784518682.7252889,-177.62,0.81,0.52
1784518682.9285953,-177.63,0.94,0.59
1784518683.0032449,-177.97,0.85,0.7
1784518683.339266,-177.86,0.89,0.48
1784518683.5404146,-177.95,0.69,0.45
1784518683.7495215,-177.76,0.55,0.39
1784518683.9494138,-177.76,0.6,0.36
1784518684.1579876,-177.8,0.67,0.41
1784518684.366352,-177.79,0.55,0.39
1784518684.5659184,-177.7,0.58,0.42
1784518684.7711241,-177.78,0.61,0.38
1784518684.977706,-177.72,0.62,0.41
1784518685.1911418,-177.72,0.66,0.43
1784518685.383747,-177.66,0.65,0.38
1784518685.5924673,-172.68,0.59,0.59
1784518685.7974176,-167.1,0.54,0.7
1784518685.9990728,-161.37,0.41,0.81
1784518686.2066154,-154.99,0.31,0.86
1784518686.4087374,-148.92,0.11,0.88
1784518686.6076152,-143.16,-0.0,0.86
1784518686.820811,-137.12,-0.15,0.83
1784518686.8900914,-131.3,-0.3,0.8
1784518687.2271073,-125.33,-0.44,0.77
1784518687.4273865,-118.73,-0.61,0.79
1784518687.6351774,-112.9,-0.72,0.78
1784518687.8424034,-106.89,-0.87,0.71
1784518688.0171402,-100.99,-1.02,0.64
1784518688.2421746,-94.5,-1.17,0.57
1784518688.4534395,-88.93,-1.29,0.5
1784518688.665152,-88.75,-1.28,0.48
1784518688.868777,-88.95,-1.12,0.58
1784518689.0268307,-88.63,-0.95,0.54
1784518689.2829967,-88.74,-0.92,0.4
1784518689.4840443,-88.7,-1.12,0.36
1784518689.6859605,-88.77,-1.18,0.31
1784518689.880365,-88.77,-1.13,0.33
1784518690.0208828,-88.75,-1.11,0.28
1784518690.2961864,-88.64,-1.27,0.3
1784518690.507657,-88.61,-1.36,0.26
1784518690.708573,-88.56,-1.42,0.23
1784518690.9049742,-88.61,-1.46,0.26
1784518691.1318262,-88.56,-1.49,0.21
1784518691.3209453,-88.56,-1.49,0.24
1784518691.5184078,-84.12,-1.52,0.21
1784518691.7340426,-78.64,-1.56,0.15
1784518691.9359708,-72.92,-1.6,0.03
1784518692.046784,-66.93,-1.64,-0.05
1784518692.3459098,-61.13,-1.67,-0.16
1784518692.546344,-54.69,-1.67,-0.32
1784518692.7586741,-48.66,-1.62,-0.47
1784518692.9630322,-42.66,-1.6,-0.68
1784518693.0403383,-36.73,-1.55,-0.82
1784518693.3724809,-30.88,-1.51,-1.0
1784518693.3927932,-25.05,-1.43,-1.06
1784518693.5947537,-18.43,-1.35,-1.23
1784518693.9864912,-12.39,-1.29,-1.34
1784518694.059373,-6.45,-1.21,-1.51
1784518694.3895233,-0.53,-1.09,-1.61
1784518694.414658,0.71,-1.09,-1.65
1784518694.8067677,0.7,-1.09,-1.65
1784518694.8963757,0.71,-1.09,-1.66
